model,video,processed_frame_idx,original_frame_idx,timestamp_sec,class_id,class_name,confidence,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area_px,frame_width,frame_height,frame_area_px,share_of_screen,conf_threshold,imgsz,vid_stride
YOLO11s,hl_monaco_test.mp4,53,265,5.3,7,okx,0.5389086008071899,715.3228149414062,637.4188232421875,766.7279052734375,649.619873046875,51.40509033203125,12.2010498046875,627.196044921875,1920,1080,2073600,0.0003024672332685441,0.4,640,5
YOLO11s,hl_monaco_test.mp4,54,270,5.4,7,okx,0.4215502142906189,713.0150756835938,632.2435302734375,763.799560546875,648.0352783203125,50.78448486328125,15.791748046875,801.9757690429688,1920,1080,2073600,0.00038675530231557786,0.4,640,5
YOLO11s,hl_monaco_test.mp4,55,275,5.5,7,okx,0.5590803623199463,896.1135864257812,591.7234497070312,930.2200927734375,600.5315551757812,34.10650634765625,8.80810546875,300.4136962890625,1920,1080,2073600,0.00014487543376162648,0.4,640,5
YOLO11s,hl_monaco_test.mp4,55,275,5.5,7,okx,0.47256749868392944,709.87841796875,623.8470458984375,756.92626953125,636.1630859375,47.0478515625,12.3160400390625,579.4432373046875,1920,1080,2073600,0.0002794383035507053,0.4,640,5
YOLO11s,hl_monaco_test.mp4,55,275,5.5,4,hp,0.43102744221687317,1439.01220703125,683.08935546875,1454.3564453125,696.35986328125,15.34423828125,13.2705078125,203.62583923339844,1920,1080,2073600,9.81991906883195e-05,0.4,640,5
YOLO11s,hl_monaco_test.mp4,56,280,5.6,4,hp,0.6606758832931519,1438.8936767578125,678.40576171875,1456.5516357421875,696.096923828125,17.657958984375,17.691162109375,312.3898010253906,1920,1080,2073600,0.000150650943396613,0.4,640,5
YOLO11s,hl_monaco_test.mp4,56,280,5.6,7,okx,0.5989981889724731,695.7041015625,614.092529296875,747.053466796875,626.1029663085938,51.349365234375,12.01043701171875,616.7283325195312,1920,1080,2073600,0.00029741914477199316,0.4,640,5
YOLO11s,hl_monaco_test.mp4,57,285,5.7,7,okx,0.5135307312011719,915.0807495117188,567.6217041015625,964.9136352539062,578.25830078125,49.8328857421875,10.6365966796875,530.0523071289062,1920,1080,2073600,0.0002556193503551185,0.4,640,5
YOLO11s,hl_monaco_test.mp4,57,285,5.7,7,okx,0.5009915828704834,679.6539306640625,605.2688598632812,741.4293212890625,621.2316284179688,61.775390625,15.9627685546875,986.1062622070312,1920,1080,2073600,0.0004755527770612389,0.4,640,5
YOLO11s,hl_monaco_test.mp4,57,285,5.7,1,atlasian,0.4021673798561096,1491.692138671875,519.380615234375,1671.2589111328125,537.34228515625,179.5667724609375,17.961669921875,3225.319091796875,1920,1080,2073600,0.0015554201090708375,0.4,640,5
